Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,6078,2,620,3171.209220911461,37.33270000520861,41397.309300002235,49.000658111220794,10.175759683473453,0.003348390813910317,620,2500,3500,3900,6200,23000,28000,30000,37000,41000,41000
GET,GET health,6157,0,500,2900.8042447458097,34.96209999866551,41806.665899996005,25.0,10.30802112062291,0.0,500,2400,3400,3900,5900,12000,29000,32000,38000,42000,42000
GET,GET home,18304,0,820,3677.239183921563,36.03470000234665,47396.35409999755,8560.0,30.644472728907218,0.0,830,3100,4100,4900,7600,22000,33000,36000,43000,47000,47000
GET,GET program detail,24622,8,1100,4041.561850597034,36.9762999980594,47341.840299995965,817.0886605474778,41.22203931004991,0.013393563255641268,1100,3400,4500,5400,8200,25000,34000,37000,45000,47000,47000
GET,GET program list,18380,7,1100,3887.3835543905943,42.12120000011055,47570.274300000165,6707.472687704026,30.771711579835813,0.011719367848686109,1100,3500,4500,5400,8000,20000,34000,37000,44000,47000,48000
GET,GET program list free,6081,3,1500,4170.075877273499,43.37419999501435,47294.08870000043,4581.7829304390725,10.180782269694317,0.005022586220865475,1500,3600,4700,5700,8500,24000,35000,38000,44000,47000,47000
GET,GET program list online,6237,0,1200,4055.6288251402875,43.970200000330806,46430.71090000012,1761.0,10.441956753179323,0.0,1200,3600,4600,5500,8000,24000,34000,38000,45000,46000,46000
GET,GET program list public,6051,3,1300,4151.977623153224,43.566499996813945,47643.45310000499,6706.709965294993,10.130556407485663,0.005022586220865475,1300,3600,4600,5600,8100,24000,34000,38000,46000,48000,48000
GET,GET program list urgent,6103,4,1300,4130.227716090514,42.95249999995576,47471.35469999921,3899.4910699655907,10.217614568647331,0.006696781627820634,1300,3500,4700,5600,8400,24000,34000,38000,46000,47000,47000
,Aggregated,98013,27,1000,3840.1852586727873,34.96209999866551,47643.45310000499,4119.471610908757,164.09291442189593,0.045203275987789275,1000,3300,4300,5200,7800,23000,33000,37000,44000,47000,48000
