Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781267657,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781267658,30,,Aggregated,0.000000,0.000000,410,420,430,480,530,530,610,610,610,610,610,30,0,400,383.5682566668159,215.54399999877205,609.841099998448,3717.266666666667
1781267660,90,,Aggregated,0.000000,0.000000,290,380,400,410,470,500,530,610,610,610,610,66,0,290,286.0704515156668,40.248800003610086,609.841099998448,3772.742424242424
1781267661,120,,Aggregated,0.000000,0.000000,260,350,380,390,420,480,530,530,610,610,610,120,0,260,256.2245400000999,40.248800003610086,609.841099998448,4029.5416666666665
1781267662,150,,Aggregated,22.000000,0.000000,190,290,320,360,400,440,500,530,610,610,610,192,0,190,212.57819114581858,38.80829999980051,609.841099998448,3846.2135416666665
1781267663,180,,Aggregated,30.000000,0.000000,160,220,280,320,380,410,480,530,610,610,610,282,0,160,186.5141468085396,38.80829999980051,609.841099998448,4017.751773049645
1781267664,210,,Aggregated,38.200000,0.000000,130,200,240,280,360,400,450,500,610,610,610,374,0,130,170.20400000000274,36.627999994379934,609.841099998448,4143.294117647059
1781267665,240,,Aggregated,46.166667,0.000000,140,210,260,290,370,430,540,650,660,660,660,496,0,140,182.00667157257598,36.627999994379934,664.8751000029733,4061.3125
1781267666,270,,Aggregated,53.285714,0.000000,160,230,280,330,420,540,650,730,940,940,940,606,0,160,205.97124900988473,36.627999994379934,938.1320999964373,4084.486798679868
1781267667,300,,Aggregated,60.625000,0.000000,180,270,350,380,530,650,740,830,940,940,940,707,0,180,241.3150710043039,36.627999994379934,938.1320999964373,4078.5926449787835
1781267668,300,,Aggregated,65.555556,0.000000,220,330,410,480,670,900,1200,1300,1800,1800,1800,818,0,220,308.45663789737125,36.627999994379934,1752.6993999999831,4101.227383863081
1781267669,300,,Aggregated,69.000000,0.000000,250,380,490,600,850,1200,1400,1700,1900,1900,1900,917,0,250,367.0763189750161,36.627999994379934,1945.0407000040286,4152.672846237731
1781267670,300,,Aggregated,78.600000,0.000000,270,410,550,670,1000,1400,1700,1800,2500,2600,2600,1041,0,270,420.74509596554554,36.627999994379934,2565.212400004384,4136.677233429395
1781267671,300,,Aggregated,87.300000,0.000000,290,450,640,750,1100,1400,1800,1900,2600,3300,3300,1148,0,290,459.11111324053286,36.627999994379934,3346.0936000046786,4093.2491289198606
1781267672,300,,Aggregated,92.600000,0.000000,300,490,670,800,1200,1400,1800,2000,2900,3300,3300,1254,0,300,476.8000031101361,36.627999994379934,3346.0936000046786,4094.0342902711322
1781267673,300,,Aggregated,98.000000,0.000000,320,530,730,860,1200,1500,1800,1900,2900,3300,3300,1360,0,320,496.59971595595795,36.627999994379934,3346.0936000046786,4088.266176470588
1781267674,300,,Aggregated,103.600000,0.000000,330,560,750,890,1300,1500,1800,2000,2900,3300,3300,1475,0,330,514.1180181695871,36.627999994379934,3346.0936000046786,4057.971525423729
1781267675,300,,Aggregated,105.400000,0.000000,330,570,770,900,1300,1500,1800,2100,2900,3300,3300,1593,0,330,522.4730880101044,36.627999994379934,3346.0936000046786,4051.124921531701
1781267676,300,,Aggregated,106.800000,0.000000,350,610,800,920,1300,1500,1800,2000,2900,3300,3300,1721,0,350,535.8264452063371,36.627999994379934,3346.0936000046786,4048.450900639163
1781267677,300,,Aggregated,106.500000,0.000000,360,620,800,920,1300,1500,1800,2000,2900,3300,3300,1844,0,360,538.0310010304426,36.627999994379934,3346.0936000046786,4052.3009761388284
1781267678,300,,Aggregated,108.300000,0.000000,370,620,790,910,1200,1500,1800,2000,2900,3300,3300,1939,0,370,536.604073646275,36.627999994379934,3346.0936000046786,4039.3011861784425
1781267679,300,,Aggregated,110.500000,0.000000,380,640,820,930,1200,1500,1800,2000,2900,3300,3300,2061,0,380,544.6720474527511,36.627999994379934,3346.0936000046786,4051.2421154779236
1781267680,300,,Aggregated,111.100000,0.000000,380,650,840,950,1300,1500,1800,2000,2900,3300,3300,2174,0,380,554.1479454002463,36.627999994379934,3346.0936000046786,4071.609935602576
1781267681,300,,Aggregated,110.000000,0.000000,390,670,850,950,1300,1500,1800,2000,2900,3300,3300,2287,0,390,563.7367940534018,36.627999994379934,3346.0936000046786,4081.766069086139
1781267682,300,,Aggregated,113.700000,0.000000,400,680,850,950,1300,1500,1800,2000,2900,3300,3300,2376,0,400,567.4592353115253,36.627999994379934,3346.0936000046786,4078.5559764309764
1781267683,300,,Aggregated,113.200000,0.000000,420,700,870,980,1300,1500,1800,2000,2900,3300,3300,2472,0,410,579.1600011732241,36.627999994379934,3346.0936000046786,4065.519417475728
1781267684,300,,Aggregated,111.800000,0.000000,430,710,890,1000,1300,1600,1800,2000,2900,3300,3300,2530,0,430,590.5967564427625,36.627999994379934,3346.0936000046786,4065.41185770751
1781267685,300,,Aggregated,109.400000,0.000000,440,740,920,1000,1400,1700,2000,2300,3500,3700,3700,2614,0,440,618.4569705815552,36.627999994379934,3663.29649999534,4070.23221117062
1781267686,300,,Aggregated,108.400000,0.000000,460,750,940,1100,1400,1800,2200,2600,3700,3700,3700,2708,0,460,645.3000735598968,36.627999994379934,3701.3958000025013,4076.653988183161
1781267687,300,,Aggregated,101.400000,0.000000,470,770,960,1100,1500,2000,2500,3000,4100,4400,4400,2807,0,470,679.9856387246809,36.627999994379934,4382.1148999995785,4079.7032418952617
1781267688,300,,Aggregated,99.000000,0.000000,480,780,980,1100,1600,2100,2700,3400,4200,4400,4400,2906,0,480,707.1480105988252,36.627999994379934,4382.1148999995785,4092.8888506538196
1781267689,300,,Aggregated,96.100000,0.000000,500,800,1000,1200,1600,2200,2700,3500,4200,4400,4400,3060,0,500,721.2707737582241,36.627999994379934,4382.1148999995785,4098.365359477124
1781267690,300,,Aggregated,96.700000,0.000000,500,790,980,1100,1600,2100,2700,3400,4200,4400,4400,3162,0,490,713.7768364327127,36.627999994379934,4382.1148999995785,4110.497469955724
1781267691,300,,Aggregated,97.300000,0.000000,500,780,980,1100,1600,2100,2700,3300,4200,4400,4400,3277,0,500,709.6788528532946,36.627999994379934,4382.1148999995785,4096.023191943851
1781267692,300,,Aggregated,97.200000,0.000000,510,790,980,1100,1600,2100,2700,3300,4200,4400,4400,3378,0,510,708.85716770287,36.627999994379934,4382.1148999995785,4098.6231497927765
1781267693,300,,Aggregated,96.800000,0.000000,510,790,980,1100,1500,2100,2700,3300,4200,4400,4400,3513,0,510,707.6693082551448,36.627999994379934,4382.1148999995785,4087.3541132934815
1781267694,300,,Aggregated,96.300000,0.000000,510,780,980,1100,1500,2000,2700,3200,4200,4400,4400,3620,0,510,703.3571197790984,36.627999994379934,4382.1148999995785,4077.3864640883976
1781267695,300,,Aggregated,101.100000,0.000000,510,780,970,1100,1500,2000,2700,3200,4200,4400,4400,3733,0,510,696.8370717654323,36.627999994379934,4382.1148999995785,4066.062684168229
1781267696,300,,Aggregated,102.300000,0.000000,500,790,970,1100,1500,2000,2600,3200,4200,4400,4400,3850,0,500,695.3187325195581,36.627999994379934,4382.1148999995785,4063.6763636363635
1781267697,300,,Aggregated,110.800000,0.000000,500,800,980,1100,1500,2000,2600,3100,4200,4400,4400,3958,0,500,695.2881834007795,36.627999994379934,4382.1148999995785,4074.2064173825165
1781267698,300,,Aggregated,110.900000,0.000000,500,800,980,1100,1500,2000,2600,3100,4200,4400,4400,4072,0,500,693.9783415030057,36.627999994379934,4382.1148999995785,4070.700638506876
1781267699,300,,Aggregated,113.600000,0.000000,510,800,980,1100,1500,1900,2600,3100,4200,4400,4400,4189,0,510,697.0705711148885,36.627999994379934,4382.1148999995785,4075.7304846025304
1781267700,300,,Aggregated,113.600000,0.000000,510,800,980,1100,1500,1900,2500,3100,4200,4400,4400,4307,0,510,695.4606753425295,36.627999994379934,4382.1148999995785,4090.478755514279
1781267701,300,,Aggregated,112.400000,0.000000,510,790,970,1100,1500,1900,2500,3100,4200,4400,4400,4416,0,510,691.0399860507888,36.627999994379934,4382.1148999995785,4091.2423007246375
