Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,889,0,51,99.88332958363274,38.96589999931166,17677.085800001805,49.0,1.4881070439780124,0.0,51,53,56,58,73,100,150,260,18000,18000,18000
GET,GET health,850,0,47,53.93763799994999,35.575299996708054,571.7713000049116,25.0,1.4228245077405068,0.0,47,49,51,52,63,86,120,220,570,570,570
GET,GET home,2588,0,50,171.07364103553124,37.60799999872688,17773.865899995144,8560.0,4.332082148273449,0.0,50,52,55,57,78,110,180,1100,17000,18000,18000
GET,GET program detail,3409,0,51,118.75564936928572,37.212200004432816,14080.454099996132,816.8753300088002,5.7063632316322215,0.0,51,53,55,57,73,100,170,320,12000,14000,14000
GET,GET program list,2599,0,57,143.53286156212545,43.85090000141645,15826.411399997596,6710.0,4.350495171314797,0.0,57,61,64,69,99,150,310,520,14000,16000,16000
GET,GET program list free,808,0,57,190.90160297037974,44.85140000178944,15336.345399999118,4584.0,1.35252023794627,0.0,57,61,64,69,100,140,300,900,15000,15000,15000
GET,GET program list online,887,0,58,259.26725828641565,43.20809999626363,17239.439699995273,1761.0,1.4847592216068584,0.0,58,62,65,68,95,150,410,10000,17000,17000,17000
GET,GET program list public,897,0,58,176.8784037904477,44.47960000106832,16677.415400001337,6710.0,1.501498333462629,0.0,58,62,66,69,94,130,310,990,17000,17000,17000
GET,GET program list urgent,900,0,57,177.7998322222023,43.7582000013208,16034.861599997384,3902.0,1.5065200670193601,0.0,57,61,65,68,89,130,300,1100,16000,16000,16000
,Aggregated,13827,0,53,148.85080651621857,35.575299996708054,17773.865899995144,4139.629565343169,23.145169962974105,0.0,53,57,60,63,84,120,220,500,15000,18000,18000
