Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,1668,0,52,179.5094741606913,38.054500000725966,20080.305800001952,49.0,2.7866271963694533,0.0,52,55,58,62,97,140,230,1700,18000,20000,20000
GET,GET health,1746,0,48,62.93251271480838,35.78920000290964,2291.15610000008,25.0,2.9169371012356504,0.0,48,51,54,57,82,110,210,280,2100,2300,2300
GET,GET home,5122,0,51,237.97020304562875,37.57029999542283,21237.38500000036,8560.0,8.557017086213632,0.0,51,54,58,63,100,150,400,9200,19000,21000,21000
GET,GET program detail,6733,0,51,143.9235511659267,37.597200003801845,11545.506200003729,817.3389276696867,11.248417813642403,0.0,51,54,58,63,99,150,310,2400,10000,12000,12000
GET,GET program list,5248,0,58,205.18016720656456,43.38350000034552,13170.024799997918,6710.0,8.767517701766721,0.0,58,63,69,80,140,250,540,8600,12000,13000,13000
GET,GET program list free,1719,0,59,189.21379610231617,43.46190000069328,13620.238499999687,4584.0,2.8718298264742748,0.0,59,65,75,89,160,290,640,1800,13000,14000,14000
GET,GET program list online,1736,0,58,175.83058237330417,42.6861000014469,13194.26409999869,1761.0,2.9002307031758816,0.0,58,64,72,83,130,250,540,1700,12000,13000,13000
GET,GET program list public,1756,0,59,166.97954498858485,44.07889999856707,11811.341399996309,6710.0,2.9336434992954197,0.0,59,64,70,80,150,270,510,1700,11000,12000,12000
GET,GET program list urgent,1651,0,58,176.68785723805544,43.33990000304766,13044.527499994729,3902.0,2.758226319667846,0.0,58,62,69,78,140,240,460,1100,13000,13000,13000
,Aggregated,27379,0,54,178.58344999451992,35.78920000290964,21237.38500000036,4158.255560831294,45.74044724784128,0.0,54,59,64,71,110,200,420,3100,16000,20000,21000
