Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781266160,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781266161,20,,Aggregated,0.000000,0.000000,300,310,360,360,400,420,420,420,420,420,420,16,0,290,292.3527749999266,182.51379999856,421.5442999993684,3542.4375
1781266162,40,,Aggregated,0.000000,0.000000,300,400,400,410,500,1600,1600,1600,1600,1600,1600,44,0,300,397.9970477271722,71.82440000178758,1580.8963000017684,4649.795454545455
1781266163,80,,Aggregated,16.000000,0.000000,270,310,330,400,410,550,1600,1600,1600,1600,1600,86,0,260,304.6527662792319,54.98269999952754,1580.8963000017684,4297.430232558139
1781266164,100,,Aggregated,20.500000,0.000000,200,270,310,320,400,420,1600,1600,1600,1600,1600,123,0,200,253.87223170738008,47.54810000304133,1580.8963000017684,4091.829268292683
1781266165,100,,Aggregated,27.000000,0.000000,170,220,260,300,400,410,1500,1600,1600,1600,1600,179,0,170,216.88778324025213,41.190500000084285,1580.8963000017684,4023.3296089385476
1781266166,100,,Aggregated,29.750000,0.000000,130,200,230,250,320,400,550,1600,1600,1600,1600,237,0,130,181.46052700418286,39.905500001623295,1580.8963000017684,4244.135021097047
1781266167,100,,Aggregated,32.800000,0.000000,97,170,210,230,310,400,500,1600,1600,1600,1600,283,0,97,160.8458144875178,39.905500001623295,1580.8963000017684,4142.296819787985
1781266168,100,,Aggregated,36.166667,0.000000,74,140,190,220,310,400,420,1500,1600,1600,1600,330,0,73,145.99696424232786,39.905500001623295,1580.8963000017684,4156.339393939394
1781266169,100,,Aggregated,37.714286,0.000000,65,110,170,200,290,360,410,1500,1600,1600,1600,386,0,65,132.85936010354396,39.29449999850476,1580.8963000017684,4046.2331606217617
1781266170,100,,Aggregated,39.250000,0.000000,62,96,140,180,270,330,410,550,1600,1600,1600,434,0,62,124.53183917048273,39.29449999850476,1580.8963000017684,4119.467741935484
