Method,Name,Error,Occurrences,First Seen,Last Seen
GET,GET program detail,"CatchResponseError('Unexpected status code: 500, path=/programs/44')",2,2026-06-12T14:25:21Z,2026-06-12T14:25:23Z
GET,GET program list urgent,"CatchResponseError('Unexpected status code: 0, path=/programs?status=RECRUITING&filter=urgent')",345,2026-06-12T14:24:15Z,2026-06-12T14:24:35Z
GET,GET actuator/health,"CatchResponseError('Unexpected status code: 504, path=/actuator/health')",1740,2026-06-12T14:23:03Z,2026-06-12T14:26:54Z
GET,GET program detail,"CatchResponseError('Unexpected status code: 504, path=/programs/5')",1345,2026-06-12T14:23:03Z,2026-06-12T14:26:54Z
GET,GET health,"CatchResponseError('Unexpected status code: 504, path=/health')",1686,2026-06-12T14:23:03Z,2026-06-12T14:26:54Z
GET,GET program detail,"CatchResponseError('Unexpected status code: 500, path=/programs/5')",1,2026-06-12T14:25:19Z,2026-06-12T14:25:19Z
GET,GET program list public,"CatchResponseError('Unexpected status code: 502, path=/programs?status=RECRUITING&filter=public')",9,2026-06-12T14:24:52Z,2026-06-12T14:26:46Z
GET,GET program list free,"CatchResponseError('Unexpected status code: 500, path=/programs?status=RECRUITING&filter=free')",7,2026-06-12T14:25:19Z,2026-06-12T14:26:22Z
GET,GET program list,"CatchResponseError('Unexpected status code: 0, path=/programs')",943,2026-06-12T14:24:16Z,2026-06-12T14:24:41Z
GET,GET health,"CatchResponseError('Unexpected status code: 502, path=/health')",13,2026-06-12T14:24:38Z,2026-06-12T14:26:45Z
GET,GET program detail,"CatchResponseError('Unexpected status code: 0, path=/programs/40')",254,2026-06-12T14:24:15Z,2026-06-12T14:24:35Z
GET,GET program list online,"CatchResponseError('Unexpected status code: 502, path=/programs?status=RECRUITING&filter=online')",10,2026-06-12T14:24:38Z,2026-06-12T14:26:40Z
GET,GET actuator/health,"CatchResponseError('Unexpected status code: 502, path=/actuator/health')",8,2026-06-12T14:24:52Z,2026-06-12T14:26:40Z
GET,GET program list urgent,"CatchResponseError('Unexpected status code: 500, path=/programs?status=RECRUITING&filter=urgent')",2,2026-06-12T14:25:21Z,2026-06-12T14:26:11Z
GET,GET program detail,"CatchResponseError('Unexpected status code: 502, path=/programs/5')",10,2026-06-12T14:24:52Z,2026-06-12T14:26:45Z
GET,GET program detail,"CatchResponseError('Unexpected status code: 0, path=/programs/5')",256,2026-06-12T14:24:16Z,2026-06-12T14:24:35Z
