Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,184,0,52,217.80538641300865,39.762899999914225,14168.584599996393,49.0,0.6170818115618301,0.0,52,55,58,62,79,120,350,14000,14000,14000,14000
GET,GET health,167,0,48,59.413192215266506,37.70239999721525,695.6565999935265,25.0,0.5600688181023132,0.0,48,51,52,54,69,100,220,250,700,700,700
GET,GET home,471,0,53,181.10170828006991,38.70509999978822,13098.492400000396,8560.0,1.5795952893783802,0.0,53,55,59,63,92,130,250,8000,13000,13000,13000
GET,GET program detail,695,0,52,76.50353913675958,38.826700001663994,3492.182400004822,817.3899280575539,2.3308253208449563,0.0,52,55,59,63,96,140,260,610,3500,3500,3500
GET,GET program list,532,0,61,194.99352951124067,43.96689999703085,13526.945199999318,6710.0,1.7841713247331175,0.0,61,67,73,79,130,200,410,6100,14000,14000,14000
GET,GET program list free,178,0,63,165.13585449440674,45.18900000402937,9602.151999999478,4584.0,0.5969595785761183,0.0,63,70,76,82,120,170,270,6400,9600,9600,9600
GET,GET program list online,193,0,64,275.96546476680476,44.17760000069393,13519.507500001055,1761.0,0.6472651610403979,0.0,64,70,76,80,120,170,4500,12000,14000,14000,14000
GET,GET program list public,173,0,65,358.44856994272,46.01309999998193,11834.196899995732,6710.0,0.580191051088025,0.0,65,73,83,100,140,360,6300,11000,12000,12000,12000
GET,GET program list urgent,159,0,63,147.589171698109,45.42510000464972,8507.370299994363,3902.0,0.533239174121364,0.0,63,68,77,81,130,190,270,2700,8500,8500,8500
,Aggregated,2752,0,56,167.2737695857455,37.70239999721525,14168.584599996393,4040.6359011627906,9.229397529446503,0.0,56,62,68,73,110,160,320,4200,14000,14000,14000
