Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET actuator/health,5,0,93,220.99832000094466,49.52529999718536,785.9385000047041,49.0,0.08826801050815741,0.0,93,120,120,790,790,790,790,790,790,790,790
GET,GET health,7,0,49,58.815928572065395,45.994599997357,88.94359999976587,25.0,0.12357521471142038,0.0,49,50,83,83,89,89,89,89,89,89,89
GET,GET home,7,0,69,111.8462714283461,49.203400005353615,345.46119999868097,8560.0,0.12357521471142038,0.0,69,81,120,120,350,350,350,350,350,350,350
GET,GET program detail,20,0,53,60.9005000009347,43.82340000302065,152.37779999733903,816.9,0.35307204203262965,0.0,53,55,62,70,92,150,150,150,150,150,150
GET,GET program list,18,0,85,138.81475555374183,64.79029999900376,553.9222000006703,6710.0,0.3177648378293667,0.0,86,100,150,160,330,550,550,550,550,550,550
GET,GET program list free,4,0,70,144.95759999590518,68.10779999796068,286.2732999928994,4584.0,0.07061440840652594,0.0,160,160,290,290,290,290,290,290,290,290,290
GET,GET program list online,6,0,70,139.77948333437476,66.25799999892479,294.7626000022865,1761.0,0.1059216126097889,0.0,110,110,230,230,290,290,290,290,290,290,290
GET,GET program list public,3,0,250,245.8604666632406,136.41409999399912,354.7093999950448,6710.0,0.05296080630489445,0.0,250,250,350,350,350,350,350,350,350,350,350
GET,GET program list urgent,7,0,78,144.67534285878563,60.60290000459645,507.6945000037085,3902.0,0.12357521471142038,0.0,78,80,140,140,510,510,510,510,510,510,510
,Aggregated,77,0,70,119.28725584395768,43.82340000302065,785.9385000047041,3555.896103896104,1.3593273618256243,0.0,70,86,120,140,290,350,550,790,790,790,790
