Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781261204,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781261205,1,,Aggregated,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,1,0,345.46119999868097,345.46119999868097,345.46119999868097,345.46119999868097,8560.0
1781261206,2,,Aggregated,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,152.37779999733903,248.91949999801,152.37779999733903,345.46119999868097,4679.5
1781261207,3,,Aggregated,0.000000,0.000000,350,350,510,510,510,510,510,510,510,510,510,4,0,150,272.1090750001167,82.90280000073835,507.6945000037085,3321.5
1781261208,3,,Aggregated,0.000000,0.000000,350,350,510,510,510,510,510,510,510,510,510,4,0,150,272.1090750001167,82.90280000073835,507.6945000037085,3321.5
1781261209,3,,Aggregated,1.000000,0.000000,330,350,510,510,550,550,550,550,550,550,550,7,0,330,324.440642857683,82.90280000073835,553.9222000006703,4066.714285714286
1781261210,3,,Aggregated,1.333333,0.000000,330,350,510,510,550,550,550,550,550,550,550,8,0,290,304.3842625002071,82.90280000073835,553.9222000006703,4397.125
1781261211,3,,Aggregated,1.000000,0.000000,290,330,350,510,550,550,550,550,550,550,550,9,0,290,283.1548777782397,82.90280000073835,553.9222000006703,4104.222222222223
1781261212,3,,Aggregated,1.400000,0.000000,160,290,350,350,510,550,550,550,550,550,550,12,0,150,224.78477500044391,43.82340000302065,553.9222000006703,3216.6666666666665
1781261213,3,,Aggregated,1.285714,0.000000,150,290,330,350,510,550,550,550,550,550,550,13,0,150,211.59744615467318,43.82340000302065,553.9222000006703,3032.0
1781261214,3,,Aggregated,1.285714,0.000000,150,290,330,350,510,550,550,550,550,550,550,13,0,150,211.59744615467318,43.82340000302065,553.9222000006703,3032.0
1781261215,3,,Aggregated,1.500000,0.000000,160,290,350,350,510,550,550,550,550,550,550,16,0,150,217.52872500019294,43.82340000302065,553.9222000006703,3412.3125
1781261216,3,,Aggregated,1.500000,0.000000,160,290,350,350,510,550,550,550,550,550,550,16,0,150,217.52872500019294,43.82340000302065,553.9222000006703,3412.3125
1781261217,3,,Aggregated,1.500000,0.000000,150,230,330,350,510,550,550,550,550,550,550,18,0,150,202.59607222235192,43.82340000302065,553.9222000006703,3881.5
1781261218,3,,Aggregated,1.400000,0.000000,150,290,350,350,550,790,790,790,790,790,790,19,0,150,233.29830526352836,43.82340000302065,785.9385000047041,3679.7894736842104
